cryptocurrency_id,timestamp,current_supply
bitcoin,2013-04-28,11091289
bitcoin,2013-04-29,11095639
bitcoin,2013-04-30,11099364
bitcoin,2013-05-01,11103139
bitcoin,2013-05-02,11106489
bitcoin,2013-05-03,11109914
bitcoin,2013-05-04,11113889
bitcoin,2013-05-05,11118014
bitcoin,2013-05-06,11122164
bitcoin,2013-05-07,11126364
bitcoin,2013-05-08,11130489
bitcoin,2013-05-09,11134589
bitcoin,2013-05-10,11138889
bitcoin,2013-05-11,11143439
bitcoin,2013-05-12,11147639
bitcoin,2013-05-13,11151989
bitcoin,2013-05-14,11155839
bitcoin,2013-05-15,11159364
bitcoin,2013-05-16,11163064
bitcoin,2013-05-17,11167089
bitcoin,2013-05-18,11170814
bitcoin,2013-05-19,11174714
bitcoin,2013-05-20,11177939
bitcoin,2013-05-21,11181714
bitcoin,2013-05-22,11185614
bitcoin,2013-05-23,11189964
bitcoin,2013-05-24,11194189
bitcoin,2013-05-25,11198314
bitcoin,2013-05-26,11202389
bitcoin,2013-05-27,11206789
bitcoin,2013-05-28,11210739
bitcoin,2013-05-29,11214939
bitcoin,2013-05-30,11219414
bitcoin,2013-05-31,11223789
bitcoin,2013-06-01,11229114
bitcoin,2013-06-02,11234089
bitcoin,2013-06-03,11239414
bitcoin,2013-06-04,11244739
bitcoin,2013-06-05,11249339
bitcoin,2013-06-06,11253864
bitcoin,2013-06-07,11257889
bitcoin,2013-06-08,11262414
bitcoin,2013-06-09,11266389
bitcoin,2013-06-10,11270739
bitcoin,2013-06-11,11275239
bitcoin,2013-06-12,11280314
bitcoin,2013-06-13,11284964
bitcoin,2013-06-14,11289464
bitcoin,2013-06-15,11293789
bitcoin,2013-06-16,11298414
bitcoin,2013-06-17,11302039
bitcoin,2013-06-18,11305539
bitcoin,2013-06-19,11308939
bitcoin,2013-06-20,11312789
bitcoin,2013-06-21,11316989
bitcoin,2013-06-22,11321389
bitcoin,2013-06-23,11325514
bitcoin,2013-06-24,11329264
bitcoin,2013-06-25,11333189
bitcoin,2013-06-26,11337539
bitcoin,2013-06-27,11341714
bitcoin,2013-06-28,11345939
bitcoin,2013-06-29,11350164
bitcoin,2013-06-30,11353989
bitcoin,2013-07-01,11357914
bitcoin,2013-07-02,11361739
bitcoin,2013-07-03,11366339
bitcoin,2013-07-04,11370464
bitcoin,2013-07-05,11375114
bitcoin,2013-07-06,11379789
bitcoin,2013-07-07,11384439
bitcoin,2013-07-08,11389239
bitcoin,2013-07-09,11393864
bitcoin,2013-07-10,11398739
bitcoin,2013-07-11,11403089
bitcoin,2013-07-12,11406939
bitcoin,2013-07-13,11410864
bitcoin,2013-07-14,11415164
bitcoin,2013-07-15,11419264
bitcoin,2013-07-16,11423364
