cryptocurrency_id,timestamp,current_supply
ethereum,2015-08-07,72279919
ethereum,2015-08-08,72307862
ethereum,2015-08-09,72335041
ethereum,2015-08-10,72362858
ethereum,2015-08-11,72390886
ethereum,2015-08-12,72418257
ethereum,2015-08-13,72446525
ethereum,2015-08-14,72477632
ethereum,2015-08-15,72506144
ethereum,2015-08-16,72533239
ethereum,2015-08-17,72561358
ethereum,2015-08-18,72587521
ethereum,2015-08-19,72614803
ethereum,2015-08-20,72635860
ethereum,2015-08-21,72662551
ethereum,2015-08-22,72690101
ethereum,2015-08-23,72716357
ethereum,2015-08-24,72743690
ethereum,2015-08-25,72770426
ethereum,2015-08-26,72796564
ethereum,2015-08-27,72821097
ethereum,2015-08-28,72845322
ethereum,2015-08-29,72867847
ethereum,2015-08-30,72889301
ethereum,2015-08-31,72910594
ethereum,2015-09-01,72930933
ethereum,2015-09-02,72949324
ethereum,2015-09-03,72966705
ethereum,2015-09-04,72989787
ethereum,2015-09-05,73015416
ethereum,2015-09-06,73041585
ethereum,2015-09-07,73067045
ethereum,2015-09-08,73092934
ethereum,2015-09-09,73119365
ethereum,2015-09-10,73145809
ethereum,2015-09-11,73173048
ethereum,2015-09-12,73199450
ethereum,2015-09-13,73225622
ethereum,2015-09-14,73251210
ethereum,2015-09-15,73276825
ethereum,2015-09-16,73303143
ethereum,2015-09-17,73328579
ethereum,2015-09-18,73354473
ethereum,2015-09-19,73381660
ethereum,2015-09-20,73409643
ethereum,2015-09-21,73436295
ethereum,2015-09-22,73462665
ethereum,2015-09-23,73489745
ethereum,2015-09-24,73516131
ethereum,2015-09-25,73543135
ethereum,2015-09-26,73569045
ethereum,2015-09-27,73594056
ethereum,2015-09-28,73618770
ethereum,2015-09-29,73643135
ethereum,2015-09-30,73668232
ethereum,2015-10-01,73695655
ethereum,2015-10-02,73722568
ethereum,2015-10-03,73749021
ethereum,2015-10-04,73774502
ethereum,2015-10-05,73800638
ethereum,2015-10-06,73825675
ethereum,2015-10-07,73851809
ethereum,2015-10-08,73878587
ethereum,2015-10-09,73904038
ethereum,2015-10-10,73929538
ethereum,2015-10-11,73956045
ethereum,2015-10-12,73982849
ethereum,2015-10-13,74009517
ethereum,2015-10-14,74035393
ethereum,2015-10-15,74061003
ethereum,2015-10-16,74086445
ethereum,2015-10-17,74112895
ethereum,2015-10-18,74138744
ethereum,2015-10-19,74164710
ethereum,2015-10-20,74190903
ethereum,2015-10-21,74216949
ethereum,2015-10-22,74242280
ethereum,2015-10-23,74269835
ethereum,2015-10-24,74296954
ethereum,2015-10-25,74323768
ethereum,2015-10-26,74349680
ethereum,2015-10-27,74377209
ethereum,2015-10-28,74403554
ethereum,2015-10-29,74431065
ethereum,2015-10-30,74458785
ethereum,2015-10-31,74486537
ethereum,2015-11-01,74514717
ethereum,2015-11-02,74541851
ethereum,2015-11-03,74569457
ethereum,2015-11-04,74597173
ethereum,2015-11-05,74624465
ethereum,2015-11-06,74651887
ethereum,2015-11-07,74678602
ethereum,2015-11-08,74705891
ethereum,2015-11-09,74732951
ethereum,2015-11-10,74760395
ethereum,2015-11-11,74788214
ethereum,2015-11-12,74816246
ethereum,2015-11-13,74844431
ethereum,2015-11-14,74872789
ethereum,2015-11-15,74900909
ethereum,2015-11-16,74928304
ethereum,2015-11-17,74956097
ethereum,2015-11-18,74983350
ethereum,2015-11-19,75009913
ethereum,2015-11-20,75035043
ethereum,2015-11-21,75061826
ethereum,2015-11-22,75088814
ethereum,2015-11-23,75116087
ethereum,2015-11-24,75142935
ethereum,2015-11-25,75169407
ethereum,2015-11-26,75195945
ethereum,2015-11-27,75223832
ethereum,2015-11-28,75251033
ethereum,2015-11-29,75278384
ethereum,2015-11-30,75305744
ethereum,2015-12-01,75333287
ethereum,2015-12-02,75359294
ethereum,2015-12-03,75387357
ethereum,2015-12-04,75414036
ethereum,2015-12-05,75440618
ethereum,2015-12-06,75466874
ethereum,2015-12-07,75493593
ethereum,2015-12-08,75519905
ethereum,2015-12-09,75548230
ethereum,2015-12-10,75575707
ethereum,2015-12-11,75602730
ethereum,2015-12-12,75629936
ethereum,2015-12-13,75657844
ethereum,2015-12-14,75684552
ethereum,2015-12-15,75711567
ethereum,2015-12-16,75738024
ethereum,2015-12-17,75764907
ethereum,2015-12-18,75791579
ethereum,2015-12-19,75818273
ethereum,2015-12-20,75844709
ethereum,2015-12-21,75871167
ethereum,2015-12-22,75898542
ethereum,2015-12-23,75925941
ethereum,2015-12-24,75952627
ethereum,2015-12-25,75979431
ethereum,2015-12-26,76005991
ethereum,2015-12-27,76032845
ethereum,2015-12-28,76059903
ethereum,2015-12-29,76086564
ethereum,2015-12-30,76113300
ethereum,2015-12-31,76140209
ethereum,2016-01-01,76166279
ethereum,2016-01-02,76193663
ethereum,2016-01-03,76221339
ethereum,2016-01-04,76248759
ethereum,2016-01-05,76276598
ethereum,2016-01-06,76304224
ethereum,2016-01-07,76331246
ethereum,2016-01-08,76359243
ethereum,2016-01-09,76386839
ethereum,2016-01-10,76414127
ethereum,2016-01-11,76441132
ethereum,2016-01-12,76467032
ethereum,2016-01-13,76493568
ethereum,2016-01-14,76520487
ethereum,2016-01-15,76547284
ethereum,2016-01-16,76573807
ethereum,2016-01-17,76600407
ethereum,2016-01-18,76627027
ethereum,2016-01-19,76653120
ethereum,2016-01-20,76679663
ethereum,2016-01-21,76705582
ethereum,2016-01-22,76731837
ethereum,2016-01-23,76757607
ethereum,2016-01-24,76784846
ethereum,2016-01-25,76810547
ethereum,2016-01-26,76837532
ethereum,2016-01-27,76863637
ethereum,2016-01-28,76890198
ethereum,2016-01-29,76916362
ethereum,2016-01-30,76942555
ethereum,2016-01-31,76968237
ethereum,2016-02-01,76994668
ethereum,2016-02-02,77020533
ethereum,2016-02-03,77047835
ethereum,2016-02-04,77074397
ethereum,2016-02-05,77100955
ethereum,2016-02-06,77127301
ethereum,2016-02-07,77153986
ethereum,2016-02-08,77180638
ethereum,2016-02-09,77207112
ethereum,2016-02-10,77233273
ethereum,2016-02-11,77259751
ethereum,2016-02-12,77286250
ethereum,2016-02-13,77313135
ethereum,2016-02-14,77339464
ethereum,2016-02-15,77365689
ethereum,2016-02-16,77392135
ethereum,2016-02-17,77417807
ethereum,2016-02-18,77444022
ethereum,2016-02-19,77470677
ethereum,2016-02-20,77497238
ethereum,2016-02-21,77523775
ethereum,2016-02-22,77550532
ethereum,2016-02-23,77576702
ethereum,2016-02-24,77603129
ethereum,2016-02-25,77629953
ethereum,2016-02-26,77656607
ethereum,2016-02-27,77682803
ethereum,2016-02-28,77709229
ethereum,2016-02-29,77734458
ethereum,2016-03-01,77760940
ethereum,2016-03-02,77787584
ethereum,2016-03-03,77813695
ethereum,2016-03-04,77839577
ethereum,2016-03-05,77866162
ethereum,2016-03-06,77891562
ethereum,2016-03-07,77917548
ethereum,2016-03-08,77943371
ethereum,2016-03-09,77969112
ethereum,2016-03-10,77995742
ethereum,2016-03-11,78022044
ethereum,2016-03-12,78048414
ethereum,2016-03-13,78075665
ethereum,2016-03-14,78102073
ethereum,2016-03-15,78133296
ethereum,2016-03-16,78164786
ethereum,2016-03-17,78196811
ethereum,2016-03-18,78228094
ethereum,2016-03-19,78260173
ethereum,2016-03-20,78291760
ethereum,2016-03-21,78323155
ethereum,2016-03-22,78354867
ethereum,2016-03-23,78386161
ethereum,2016-03-24,78418232
ethereum,2016-03-25,78450122
ethereum,2016-03-26,78482050
