date,date_id,year,month,day
2012-11-28,1,2012,11,28
2013-04-28,2,2013,4,28
2013-04-29,3,2013,4,29
2013-04-30,4,2013,4,30
2013-05-01,5,2013,5,1
2013-05-02,6,2013,5,2
2013-05-03,7,2013,5,3
2013-05-04,8,2013,5,4
2013-05-05,9,2013,5,5
2013-05-06,10,2013,5,6
2013-05-07,11,2013,5,7
2013-05-08,12,2013,5,8
2013-05-09,13,2013,5,9
2013-05-10,14,2013,5,10
2013-05-11,15,2013,5,11
2013-05-12,16,2013,5,12
2013-05-13,17,2013,5,13
2013-05-14,18,2013,5,14
2013-05-15,19,2013,5,15
2013-05-16,20,2013,5,16
2013-05-17,21,2013,5,17
2013-05-18,22,2013,5,18
2013-05-19,23,2013,5,19
2013-05-20,24,2013,5,20
2013-05-21,25,2013,5,21
2013-05-22,26,2013,5,22
2013-05-23,27,2013,5,23
2013-05-24,28,2013,5,24
2013-05-25,29,2013,5,25
2013-05-26,30,2013,5,26
2013-05-27,31,2013,5,27
2013-05-28,32,2013,5,28
2013-05-29,33,2013,5,29
2013-05-30,34,2013,5,30
2013-05-31,35,2013,5,31
2013-06-01,36,2013,6,1
2013-06-02,37,2013,6,2
2013-06-03,38,2013,6,3
2013-06-05,39,2013,6,5
2013-06-06,40,2013,6,6
2013-06-07,41,2013,6,7
2013-06-08,42,2013,6,8
2013-06-09,43,2013,6,9
2013-06-10,44,2013,6,10
2013-06-11,45,2013,6,11
2013-06-12,46,2013,6,12
2013-06-13,47,2013,6,13
2013-06-14,48,2013,6,14
2013-06-15,49,2013,6,15
2013-06-16,50,2013,6,16
2013-06-17,51,2013,6,17
2013-06-18,52,2013,6,18
2013-06-19,53,2013,6,19
2013-06-20,54,2013,6,20
2013-06-21,55,2013,6,21
2013-06-22,56,2013,6,22
2013-06-23,57,2013,6,23
2013-06-24,58,2013,6,24
2013-06-25,59,2013,6,25
2013-06-26,60,2013,6,26
2013-06-27,61,2013,6,27
2013-06-28,62,2013,6,28
2013-06-29,63,2013,6,29
2013-06-30,64,2013,6,30
2013-07-01,65,2013,7,1
2013-07-02,66,2013,7,2
2013-07-03,67,2013,7,3
2013-07-04,68,2013,7,4
2013-07-05,69,2013,7,5
2013-07-06,70,2013,7,6
2013-07-07,71,2013,7,7
2013-07-08,72,2013,7,8
2013-07-09,73,2013,7,9
2013-07-10,74,2013,7,10
2013-07-11,75,2013,7,11
2013-07-12,76,2013,7,12
2013-07-13,77,2013,7,13
2013-07-14,78,2013,7,14
2013-07-15,79,2013,7,15
2013-07-16,80,2013,7,16
2013-07-17,81,2013,7,17
2013-07-18,82,2013,7,18
2013-07-19,83,2013,7,19
2013-07-20,84,2013,7,20
2013-07-21,85,2013,7,21
2013-07-22,86,2013,7,22
2013-07-23,87,2013,7,23
2013-07-24,88,2013,7,24
2013-07-25,89,2013,7,25
2013-07-26,90,2013,7,26
2013-07-27,91,2013,7,27
2013-07-28,92,2013,7,28
2013-07-29,93,2013,7,29
2013-07-30,94,2013,7,30
2013-07-31,95,2013,7,31
2013-08-01,96,2013,8,1
2013-08-02,97,2013,8,2
2013-08-03,98,2013,8,3
2013-08-04,99,2013,8,4
2013-08-05,100,2013,8,5
2013-08-06,101,2013,8,6
2013-08-07,102,2013,8,7
2013-08-08,103,2013,8,8
2013-08-09,104,2013,8,9
2013-08-10,105,2013,8,10
2013-08-11,106,2013,8,11
2013-08-12,107,2013,8,12
2013-08-13,108,2013,8,13
2013-08-14,109,2013,8,14
2013-08-15,110,2013,8,15
2013-08-16,111,2013,8,16
2013-08-17,112,2013,8,17
2013-08-18,113,2013,8,18
2013-08-19,114,2013,8,19
2013-08-20,115,2013,8,20
2013-08-21,116,2013,8,21
2013-08-22,117,2013,8,22
2013-08-23,118,2013,8,23
2013-08-24,119,2013,8,24
2013-08-25,120,2013,8,25
2013-08-26,121,2013,8,26
2013-08-27,122,2013,8,27
2013-08-28,123,2013,8,28
2013-08-29,124,2013,8,29
2013-08-30,125,2013,8,30
2013-08-31,126,2013,8,31
2013-09-01,127,2013,9,1
2013-09-02,128,2013,9,2
2013-09-03,129,2013,9,3
2013-09-04,130,2013,9,4
2013-09-05,131,2013,9,5
2013-09-06,132,2013,9,6
2013-09-07,133,2013,9,7
2013-09-08,134,2013,9,8
2013-09-09,135,2013,9,9
2013-09-10,136,2013,9,10
2013-09-11,137,2013,9,11
2013-09-12,138,2013,9,12
2013-09-13,139,2013,9,13
2013-09-14,140,2013,9,14
2013-09-15,141,2013,9,15
2013-09-16,142,2013,9,16
2013-09-17,143,2013,9,17
2013-09-18,144,2013,9,18
2013-09-19,145,2013,9,19
2013-09-20,146,2013,9,20
2013-09-21,147,2013,9,21
2013-09-22,148,2013,9,22
2013-09-23,149,2013,9,23
2013-09-24,150,2013,9,24
2013-09-25,151,2013,9,25
2013-09-26,152,2013,9,26
2013-09-27,153,2013,9,27
2013-09-28,154,2013,9,28
2013-09-29,155,2013,9,29
2013-09-30,156,2013,9,30
2013-10-01,157,2013,10,1
2013-10-02,158,2013,10,2
2013-10-03,159,2013,10,3
2013-10-04,160,2013,10,4
2013-10-05,161,2013,10,5
2013-10-06,162,2013,10,6
2013-10-07,163,2013,10,7
2013-10-08,164,2013,10,8
2013-10-09,165,2013,10,9
2013-10-10,166,2013,10,10
2013-10-11,167,2013,10,11
2013-10-12,168,2013,10,12
2013-10-13,169,2013,10,13
2013-10-14,170,2013,10,14
2013-10-15,171,2013,10,15
2013-10-16,172,2013,10,16
2013-10-17,173,2013,10,17
2013-10-18,174,2013,10,18
2013-10-19,175,2013,10,19
2013-10-20,176,2013,10,20
2013-10-21,177,2013,10,21
2013-10-22,178,2013,10,22
2013-10-23,179,2013,10,23
2013-10-24,180,2013,10,24
2013-10-25,181,2013,10,25
2013-10-26,182,2013,10,26
2013-10-27,183,2013,10,27
2013-10-28,184,2013,10,28
2013-10-29,185,2013,10,29
2013-10-30,186,2013,10,30
