cryptocurrency_id,date_id,price_usd,market_cap,total_volume_24h
bitcoin,2,135.3,1500517590.0,0.0
bitcoin,3,141.96,1575032004.0,0.0
bitcoin,4,135.3,1501657493.0,0.0
bitcoin,5,117.0,1298951550.0,0.0
bitcoin,6,103.43,1148667722.0,0.0
bitcoin,7,91.01,1011066494.0,0.0
bitcoin,8,111.25,1236351844.0,0.0
bitcoin,9,116.79,1298377788.0,0.0
bitcoin,10,118.33,1315992304.0,0.0
bitcoin,11,106.4,1183766500.0,0.0
bitcoin,12,112.64,1253655040.0,0.0
bitcoin,13,113.0,1258130700.0,0.0
bitcoin,14,118.78,1322989457.0,0.0
bitcoin,15,113.01,1259239352.0,0.0
bitcoin,16,114.713,1278708679.0,0.0
bitcoin,17,117.18,1306721052.0,0.0
bitcoin,18,114.5,1277278988.0,0.0
bitcoin,19,114.156,1273849681.0,0.0
bitcoin,20,115.5,1289277412.0,0.0
bitcoin,21,123.1,1374605382.0,0.0
bitcoin,22,123.88,1383755085.0,0.0
bitcoin,23,120.501,1346499262.0,0.0
bitcoin,24,122.58,1370131821.0,0.0
bitcoin,25,122.9,1374154118.0,0.0
bitcoin,26,123.0,1375791900.0,0.0
bitcoin,27,125.748,1407041528.0,0.0
bitcoin,28,131.7,1474180657.0,0.0
bitcoin,29,130.77,1464316690.0,0.0
bitcoin,30,134.6,1507769010.0,0.0
bitcoin,31,128.985,1445444606.0,0.0
bitcoin,32,129.179,1448115967.0,0.0
bitcoin,33,132.13,1481781795.0,0.0
bitcoin,34,127.401,1429308634.0,0.0
bitcoin,35,127.98,1436386730.0,0.0
bitcoin,36,129.09,1449499974.0,0.0
bitcoin,37,121.3,1362684200.0,0.0
bitcoin,38,121.16,1361765704.0,0.0
bitcoin,39,121.309,1364113640.0,0.0
bitcoin,40,121.714,1369233814.0,0.0
bitcoin,41,119.0,1339234925.0,0.0
bitcoin,42,110.09,1239395972.0,0.0
bitcoin,43,108.401,1220874393.0,0.0
bitcoin,44,99.7497,1123844958.0,0.0
bitcoin,45,105.99,1194605341.0,0.0
bitcoin,46,108.9,1227904672.0,0.0
bitcoin,47,108.4,1222819750.0,0.0
bitcoin,48,102.769,1159766150.0,0.0
bitcoin,49,98.399,1110902570.0,0.0
bitcoin,50,99.99,1129287060.0,0.0
bitcoin,51,100.42,1134610433.0,0.0
bitcoin,52,102.0,1152834600.0,0.0
