cryptocurrency_id,date_id,price_btc,price_eth,price_eur,price_usd,price_satoshis,market_cap_btc,market_cap_eth,market_cap_eur,market_cap_usd,market_cap_satoshis,total_volume_btc,total_volume_eth,total_volume_eur,total_volume_usd,total_volume_satoshis
bitcoin,2,1.0,,103.1862,135.3,,11090299.999999998,,1144365913.86,1500517590.0,,0.0,,0.0,0.0,
bitcoin,3,1.0,,110.3745,141.96,,11094900.0,,1224594040.05,1575032004.0,,0.0,,0.0,0.0,
bitcoin,4,1.0,,106.3128,135.3,,11098725.003695492,,1179936531.572878,1501657493.0,,0.0,,0.0,0.0,
bitcoin,5,1.0,,88.6291,117.0,,11102150.0,,983973562.565,1298951550.0,,0.0,,0.0,0.0,
bitcoin,6,1.0,,80.5923,103.43,,11105749.995165812,,895037935.3354017,1148667722.0,,0.0,,0.0,0.0,
bitcoin,7,1.0,,75.1575,91.01,,11109399.999999998,,834954730.4999999,1011066494.0,,0.0,,0.0,0.0,
bitcoin,8,1.0,,86.2273,111.25,,11113275.00224719,,958267697.6012692,1236351844.0,,0.0,,0.0,0.0,
bitcoin,9,1.0,,88.4403,116.79,,11117200.0,,983208503.1599998,1298377788.0,,0.0,,0.0,0.0,
bitcoin,10,1.0,,85.5829,118.33,,11121375.002112737,,951799524.668314,1315992304.0,,0.0,,0.0,0.0,
bitcoin,11,1.0,,83.7734,106.4,,11125625.0,,932031433.375,1183766500.0,,0.0,,0.0,0.0,
bitcoin,12,1.0,,86.563,112.64,,11129750.0,,963424549.25,1253655040.0,,0.0,,0.0,0.0,
bitcoin,13,1.0,,85.7885,113.0,,11133900.0,,955160580.15,1258130700.0,,0.0,,0.0,0.0,
bitcoin,14,1.0,,90.0629,118.78,,11138150.0,,1003134089.635,1322989457.0,,0.0,,0.0,0.0,
bitcoin,15,1.0,,89.0164,113.01,,11142724.997787807,,991885265.4930784,1259239352.0,,0.0,,0.0,0.0,
bitcoin,16,1.0,,88.3954,114.713,,11147025.001525544,,985345733.8198512,1278708679.0,,0.0,,0.0,0.0,
bitcoin,17,1.0,,90.8763,117.18,,11151400.0,,1013397971.82,1306721052.0,,0.0,,0.0,0.0,
bitcoin,18,1.0,,85.8463,114.5,,11155275.004366811,,957639084.6073748,1277278988.0,,0.0,,0.0,0.0,
